variable,step,date,filename,width,height,crs,resolution,n_bands,total_pixels,valid_pixels,nodata_pixels,coverage_%,mean,std,min,max,p25,median,p75,cv_%
FVC,GF,2024-01-05,20240105.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0764,0.1434,0.0,0.656,0.0,0.0,0.0674,187.75
FVC,GF,2024-01-10,20240110.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0751,0.1448,0.0,0.6552,0.0,0.0,0.0513,192.75
FVC,GF,2024-01-15,20240115.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0747,0.1434,0.0,0.6489,0.0,0.0,0.0496,192.12
FVC,GF,2024-01-25,20240125.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0806,0.1439,0.0,0.6921,0.0,0.0,0.0873,178.63
FVC,GF,2024-01-30,20240130.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0869,0.1471,0.0,0.6624,0.0,0.0,0.1235,169.29
FVC,GF,2024-02-19,20240219.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.1082,0.1625,0.0,0.7461,0.0,0.0,0.2314,150.16
FVC,GF,2024-02-24,20240224.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.1107,0.1646,0.0,0.7906,0.0,0.0,0.2365,148.78
FVC,GF,2024-02-29,20240229.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.1103,0.1625,0.0,0.8102,0.0,0.0,0.2314,147.28
FVC,GF,2024-03-05,20240305.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.1104,0.1614,0.0,0.7449,0.0,0.0,0.2264,146.17
FVC,GF,2024-03-10,20240310.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.1078,0.1587,0.0,0.775,0.0,0.0,0.2136,147.23
FVC,GF,2024-03-15,20240315.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.1034,0.1552,0.0,0.7923,0.0,0.0,0.194,150.03
FVC,GF,2024-03-20,20240320.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.1025,0.157,0.0,0.8309,0.0,0.0,0.1815,153.24
FVC,GF,2024-03-25,20240325.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0992,0.1567,0.0,0.8373,0.0,0.0,0.1688,157.96
FVC,GF,2024-03-30,20240330.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0954,0.1563,0.0,0.8324,0.0,0.0,0.1558,163.79
FVC,GF,2024-04-09,20240409.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0893,0.1546,0.0,0.806,0.0,0.0,0.1318,173.14
FVC,GF,2024-04-14,20240414.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0846,0.1506,0.0,0.7647,0.0,0.0,0.1116,178.1
FVC,GF,2024-04-29,20240429.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0789,0.1305,0.0,0.6471,0.0,0.0,0.1461,165.42
FVC,GF,2024-05-19,20240519.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.0458,0.0926,0.0,0.4996,0.0,0.0,0.0,202.14
FVC,GF,2024-06-18,20240618.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.215,0.3171,0.0,0.9367,0.0,0.0,0.4627,147.51
FVC,GF,2024-06-28,20240628.tif,225,207,EPSG:32618,20.0,1,46575,46575,0,100.0,0.2369,0.3306,0.0,1.0006,0.0,0.0,0.515,139.55
