date,n_valid,RMSE,MAE,R2,bias,slope,intercept,pearson_r
2024-01-05,100,0.0577,0.0416,0.9342,-0.018,0.8104,0.0243,0.9826
2024-01-10,100,0.0524,0.0365,0.9476,-0.0211,0.8305,0.0169,0.9892
2024-01-15,100,0.0463,0.0347,0.9562,-0.018,0.8504,0.0149,0.99
2024-01-25,100,0.0481,0.0383,0.9284,0.0322,0.9363,0.0441,0.9804
2024-02-19,100,0.0719,0.0544,0.8313,-0.0325,0.7267,0.0559,0.9479
2024-02-24,100,0.0705,0.0571,0.8363,-0.0452,0.7507,0.0397,0.9708
2024-02-29,93,0.0874,0.0642,0.7535,-0.0531,0.6932,0.0519,0.9415
2024-03-05,81,0.075,0.0561,0.601,0.0272,0.8525,0.0657,0.8314
2024-03-15,100,0.1328,0.1109,0.5648,0.0342,0.4876,0.1486,0.7895
2024-03-20,23,0.1482,0.1124,0.4317,-0.0071,0.3185,0.2692,0.7051
2024-03-30,100,0.1039,0.08,0.7394,-0.0064,0.6545,0.0746,0.8679
2024-04-14,100,0.0744,0.0503,0.8814,-0.0354,0.7583,0.022,0.9723
2024-05-19,62,0.0694,0.0604,0.7338,-0.0595,0.7503,0.0027,0.9925
2024-06-18,92,0.1804,0.1548,0.7164,-0.1224,0.6968,0.0933,0.9425
2024-06-28,58,0.1672,0.1497,0.5829,-0.0926,0.6803,0.1546,0.844
2024-07-23,92,0.1854,0.1503,0.3216,-0.1127,0.5055,0.1741,0.7633
2024-08-07,91,0.1336,0.11,0.7824,0.0106,0.5842,0.1516,0.942
2024-08-17,100,0.1252,0.1129,0.8025,0.0676,0.6564,0.1472,0.9756
2024-08-27,20,0.1086,0.0902,-0.4319,0.0835,0.4521,0.1307,0.6467
2024-09-06,100,0.1068,0.092,0.801,0.0247,0.6016,0.139,0.9613
2024-09-11,49,0.1149,0.0947,-0.0929,0.0864,1.0482,0.0745,0.8364
2024-09-16,24,0.1761,0.1467,0.2545,-0.1419,0.5113,0.1498,0.9597
2024-09-21,100,0.0916,0.0768,0.7916,-0.0251,0.6618,0.1156,0.9209
2024-10-01,39,0.1886,0.1746,0.0649,-0.1624,0.606,0.1093,0.8994
2024-10-16,21,0.0853,0.0715,-0.6897,-0.0161,0.4623,0.3276,0.3708
2024-10-21,56,0.0927,0.0806,0.7813,-0.0711,0.826,0.0429,0.9589
2024-10-31,95,0.0921,0.0761,0.8609,-0.0459,0.7797,0.0771,0.9569
2024-11-15,21,0.0889,0.0742,0.7748,-0.0664,0.7356,0.0779,0.9734
2024-11-25,85,0.118,0.0986,0.5896,-0.0655,0.7545,0.0476,0.8473
2024-12-05,62,0.0848,0.0652,0.8273,-0.0205,0.6527,0.0904,0.9541
2024-12-10,99,0.0717,0.0553,0.8366,0.0014,0.7301,0.0767,0.9246
2024-12-15,100,0.0779,0.0663,0.7578,0.0519,0.7824,0.0959,0.9354
2024-12-20,15,0.0594,0.0524,0.7454,0.0196,0.7561,0.0696,0.8794
2024-12-25,96,0.0712,0.0609,0.7505,0.0456,0.7522,0.0892,0.9319
2024-12-30,58,0.0955,0.0846,0.1352,0.0846,1.0989,0.0696,0.934
