date,n_valid,RMSE,MAE,R2,bias,slope,intercept,pearson_r
2024-01-05,30,0.4955,0.3167,-63.6611,0.2954,-0.2487,0.665,-0.0392
2024-01-10,100,0.1919,0.126,0.8719,-0.0929,0.7332,0.09,0.9759
2024-01-15,100,0.1522,0.1055,0.8986,-0.0927,0.8013,0.0412,0.9816
2024-01-25,100,0.1222,0.0914,0.8508,0.0628,0.9639,0.0811,0.9463
2024-02-19,100,0.2256,0.1572,0.707,-0.1202,0.6727,0.1263,0.9027
2024-02-24,100,0.2301,0.1761,0.7296,-0.1666,0.7147,0.0575,0.9566
2024-02-29,93,0.254,0.1655,0.7352,-0.1268,0.6088,0.1594,0.9434
2024-03-05,81,0.3565,0.2863,-0.6583,0.2851,0.8608,0.3301,0.7494
2024-03-15,100,0.2203,0.1598,0.6413,0.0855,0.6392,0.2578,0.8371
2024-03-20,23,0.3904,0.2893,0.5819,-0.0954,0.4946,0.3831,0.7999
2024-03-30,100,0.2411,0.1744,0.6901,-0.0897,0.6173,0.1726,0.8715
2024-04-14,100,0.2137,0.1224,0.803,-0.1141,0.6839,0.1062,0.9589
2024-05-19,62,0.1009,0.0469,0.9036,-0.0408,0.7325,0.0055,0.9916
2024-06-18,92,0.9254,0.7352,0.7564,-0.6072,0.7067,0.3013,0.9511
2024-06-28,58,0.8973,0.7695,0.7092,-0.4299,0.6488,0.7129,0.8983
2024-07-23,92,0.741,0.586,0.6377,-0.2445,0.5303,0.6436,0.8564
2024-08-07,91,0.5902,0.4636,0.7468,0.0029,0.5932,0.4995,0.8947
2024-08-17,100,0.3277,0.2388,0.8963,-0.0064,0.7513,0.2482,0.9649
2024-08-27,20,0.4343,0.3912,-4.2503,0.3783,0.4601,0.459,0.4225
2024-09-06,100,0.2609,0.1964,0.8201,-0.0076,0.7944,0.1927,0.9062
2024-09-11,49,0.6976,0.6413,-1.3102,0.6413,1.0655,0.6164,0.8731
2024-09-16,24,0.859,0.7664,0.5511,-0.3886,0.4268,0.749,0.9299
2024-09-21,100,0.4354,0.3328,0.8027,-0.0407,0.6267,0.4504,0.9353
2024-10-01,39,0.9848,0.8536,0.3795,-0.8137,0.5899,0.2951,0.9611
2024-10-16,21,0.4339,0.3873,0.0825,-0.1532,0.7605,0.4597,0.6609
2024-10-21,56,0.4219,0.3459,0.8563,-0.3184,0.8336,0.1228,0.9763
2024-10-31,95,0.4434,0.3532,0.8822,-0.2695,0.7958,0.1709,0.9752
2024-11-15,21,0.4255,0.3256,0.8344,-0.2096,0.6782,0.3512,0.9771
2024-11-25,85,0.436,0.355,0.7969,-0.1747,0.6717,0.2726,0.937
2024-12-05,62,0.3028,0.204,0.8105,-0.0172,0.6133,0.2837,0.9514
2024-12-10,99,0.2367,0.1584,0.7396,0.0426,0.7852,0.1799,0.8659
2024-12-15,100,0.2125,0.1645,0.7113,0.1103,0.8216,0.195,0.889
2024-12-20,15,0.1379,0.1125,0.612,0.086,0.8397,0.1462,0.8772
2024-12-25,96,0.1664,0.1242,0.7856,0.0643,0.7853,0.1577,0.905
2024-12-30,58,0.1927,0.1621,0.7002,0.1534,1.0043,0.1517,0.9496
